left-weight,left-distance,right-weight,right-distance,position,class
5,1,1,1,o,B
1,1,1,2,x,R
1,1,1,3,o,R
1,1,1,4,b,R
1,1,1,5,o,R
1,1,2,1,b,R
1,1,2,2,o,R
1,1,2,3,b,R
1,1,2,4,o,R
1,1,2,5,o,R
1,1,3,1,b,R
1,1,3,2,o,R
1,1,3,3,o,R
1,1,3,4,x,R
1,1,3,5,o,R
1,1,4,1,b,R
1,1,4,2,o,R
1,1,4,3,b,R
1,1,4,4,o,R
1,1,4,5,b,R
1,1,5,1,o,R
1,1,5,2,o,R
1,1,5,3,x,R
1,1,5,4,o,R
1,1,5,5,b,R
1,2,1,1,o,L
1,2,1,2,b,B
1,2,1,3,o,R
1,2,1,4,b,R
1,2,1,5,x,R
1,2,2,1,b,B
1,2,2,2,x,R
1,2,2,3,o,R
1,2,2,4,b,R
1,2,2,5,o,R
1,2,3,1,b,R
1,2,3,2,o,R
1,2,3,3,o,R
1,2,3,4,b,R
1,2,3,5,x,R
1,2,4,1,b,R
1,2,4,2,x,R
1,2,4,3,o,R
1,2,4,4,b,R
1,2,4,5,o,R
1,2,5,1,x,R
1,2,5,2,o,R
1,2,5,3,b,R
1,2,5,4,o,R
1,2,5,5,b,R
1,3,1,1,o,L
1,3,1,2,b,L
1,3,1,3,o,B
1,3,1,4,o,R
1,3,1,5,b,R
1,3,2,1,o,L
1,3,2,2,o,R
1,3,2,3,b,R
1,3,2,4,x,R
1,3,2,5,b,R
1,3,3,1,x,B
1,3,3,2,o,R
1,3,3,3,b,R
1,3,3,4,o,R
1,3,3,5,x,R
1,3,4,1,o,R
1,3,4,2,b,R
1,3,4,3,o,R
1,3,4,4,b,R
1,3,4,5,o,R
1,3,5,1,x,R
1,3,5,2,o,R
1,3,5,3,b,R
1,3,5,4,o,R
1,3,5,5,b,R
1,4,1,1,o,L
1,4,1,2,b,L
1,4,1,3,o,L
1,4,1,4,o,B
1,4,1,5,o,R
1,4,2,1,o,L
1,4,2,2,b,B
1,4,2,3,o,R
1,4,2,4,b,R
1,4,2,5,o,R
1,4,3,1,o,L
1,4,3,2,x,R
1,4,3,3,o,R
1,4,3,4,o,R
1,4,3,5,x,R
1,4,4,1,x,B
1,4,4,2,b,R
1,4,4,3,x,R
1,4,4,4,b,R
1,4,4,5,x,R
1,4,5,1,o,R
1,4,5,2,x,R
1,4,5,3,b,R
1,4,5,4,o,R
1,4,5,5,x,R
1,5,1,1,o,L
1,5,1,2,o,L
1,5,1,3,b,L
1,5,1,4,o,L
1,5,1,5,o,B
1,5,2,1,x,L
1,5,2,2,b,L
1,5,2,3,x,R
1,5,2,4,o,R
1,5,2,5,x,R
1,5,3,1,o,L
1,5,3,2,x,R
1,5,3,3,o,R
1,5,3,4,o,R
1,5,3,5,o,R
1,5,4,1,x,L
1,5,4,2,b,R
1,5,4,3,b,R
1,5,4,4,o,R
1,5,4,5,b,R
1,5,5,1,o,B
1,5,5,2,o,R
1,5,5,3,o,R
1,5,5,4,x,R
1,5,5,5,o,R
2,1,1,1,b,L
2,1,1,2,x,B
2,1,1,3,b,R
2,1,1,4,o,R
2,1,1,5,b,R
